163800,2018-02-06,north
164700,2018-02-06,south
173100,2018-02-06,east
155700,2018-02-06,west
579420,2018-02-06,north
529470,2018-02-06,south
575424,2018-02-06,east
579420,2018-02-06,west
130500,2018-02-06,north
140000,2018-02-06,south
145750,2018-02-06,east
138000,2018-02-06,west
162900,2018-02-06,north
172200,2018-02-06,south
173100,2018-02-06,east
150900,2018-02-06,west
66250,2018-02-06,north
68250,2018-02-06,south
63250,2018-02-06,east
69875,2018-02-06,west
265967,2018-02-06,north
283432,2018-02-06,south
277444,2018-02-06,east
285927,2018-02-06,west
108256,2018-02-06,north
114823,2018-02-06,south
105868,2018-02-06,east
116415,2018-02-06,west
158700,2018-02-07,north
169800,2018-02-07,south
154200,2018-02-07,east
163500,2018-02-07,west
505494,2018-02-07,north
511488,2018-02-07,south
523476,2018-02-07,east
558441,2018-02-07,west
148500,2018-02-07,north
149000,2018-02-07,south
134250,2018-02-07,east
131000,2018-02-07,west
159900,2018-02-07,north
164100,2018-02-07,south
150300,2018-02-07,east
164400,2018-02-07,west
71625,2018-02-07,north
68125,2018-02-07,south
72250,2018-02-07,east
63000,2018-02-07,west
279939,2018-02-07,north
289919,2018-02-07,south
274450,2018-02-07,east
252494,2018-02-07,west
103082,2018-02-07,north
106863,2018-02-07,south
111042,2018-02-07,east
106664,2018-02-07,west
160200,2018-02-08,north
153600,2018-02-08,south
150300,2018-02-08,east
170100,2018-02-08,west
589410,2018-02-08,north
500499,2018-02-08,south
514485,2018-02-08,east
513486,2018-02-08,west
139750,2018-02-08,north
137500,2018-02-08,south
139250,2018-02-08,east
128500,2018-02-08,west
180000,2018-02-08,north
162600,2018-02-08,south
160500,2018-02-08,east
153000,2018-02-08,west
63000,2018-02-08,north
66125,2018-02-08,south
72375,2018-02-08,east
63875,2018-02-08,west
249500,2018-02-08,north
259480,2018-02-08,south
267963,2018-02-08,east
299400,2018-02-08,west
112435,2018-02-08,north
99699,2018-02-08,south
106067,2018-02-08,east
99500,2018-02-08,west
175800,2018-02-09,north
166200,2018-02-09,south
178200,2018-02-09,east
151500,2018-02-09,west
596403,2018-02-09,north
583416,2018-02-09,south
552447,2018-02-09,east
583416,2018-02-09,west
148500,2018-02-09,north
142000,2018-02-09,south
139000,2018-02-09,east
144750,2018-02-09,west
176400,2018-02-09,north
162000,2018-02-09,south
162900,2018-02-09,east
167400,2018-02-09,west
72250,2018-02-09,north
64750,2018-02-09,south
73875,2018-02-09,east
65625,2018-02-09,west
281935,2018-02-09,north
299400,2018-02-09,south
286426,2018-02-09,east
254989,2018-02-09,west
101888,2018-02-09,north
107460,2018-02-09,south
114425,2018-02-09,east
103082,2018-02-09,west
166200,2018-02-10,north
155700,2018-02-10,south
165000,2018-02-10,east
167400,2018-02-10,west
508491,2018-02-10,north
547452,2018-02-10,south
516483,2018-02-10,east
522477,2018-02-10,west
150000,2018-02-10,north
140500,2018-02-10,south
144000,2018-02-10,east
127750,2018-02-10,west
177300,2018-02-10,north
170700,2018-02-10,south
173100,2018-02-10,east
163500,2018-02-10,west
68250,2018-02-10,north
68750,2018-02-10,south
64875,2018-02-10,east
73250,2018-02-10,west
267963,2018-02-10,north
284929,2018-02-10,south
272454,2018-02-10,east
273951,2018-02-10,west
119201,2018-02-10,north
113430,2018-02-10,south
110843,2018-02-10,east
115420,2018-02-10,west
155400,2018-02-11,north
158700,2018-02-11,south
156300,2018-02-11,east
176400,2018-02-11,west
517482,2018-02-11,north
577422,2018-02-11,south
533466,2018-02-11,east
507492,2018-02-11,west
144750,2018-02-11,north
129000,2018-02-11,south
135750,2018-02-11,east
125000,2018-02-11,west
176700,2018-02-11,north
153300,2018-02-11,south
165000,2018-02-11,east
154500,2018-02-11,west
71500,2018-02-11,north
62875,2018-02-11,south
68125,2018-02-11,east
67500,2018-02-11,west
259979,2018-02-11,north
250997,2018-02-11,south
278442,2018-02-11,east
273452,2018-02-11,west
99699,2018-02-11,north
112833,2018-02-11,south
108057,2018-02-11,east
115221,2018-02-11,west
175800,2018-02-12,north
160800,2018-02-12,south
156900,2018-02-12,east
165300,2018-02-12,west
533466,2018-02-12,north
542457,2018-02-12,south
510489,2018-02-12,east
514485,2018-02-12,west
125000,2018-02-12,north
133000,2018-02-12,south
129250,2018-02-12,east
132500,2018-02-12,west
162300,2018-02-12,north
156300,2018-02-12,south
159300,2018-02-12,east
152700,2018-02-12,west
65250,2018-02-12,north
62750,2018-02-12,south
65250,2018-02-12,east
72375,2018-02-12,west
253991,2018-02-12,north
296406,2018-02-12,south
289420,2018-02-12,east
260977,2018-02-12,west
115022,2018-02-12,north
114027,2018-02-12,south
104077,2018-02-12,east
100893,2018-02-12,west
157200,2018-02-13,north
171600,2018-02-13,south
177300,2018-02-13,east
172500,2018-02-13,west
520479,2018-02-13,north
583416,2018-02-13,south
515484,2018-02-13,east
516483,2018-02-13,west
136750,2018-02-13,north
149250,2018-02-13,south
149750,2018-02-13,east
146250,2018-02-13,west
173400,2018-02-13,north
171600,2018-02-13,south
177000,2018-02-13,east
153600,2018-02-13,west
64375,2018-02-13,north
63000,2018-02-13,south
67250,2018-02-13,east
64375,2018-02-13,west
291915,2018-02-13,north
284929,2018-02-13,south
268462,2018-02-13,east
249500,2018-02-13,west
99699,2018-02-13,north
107659,2018-02-13,south
112236,2018-02-13,east
99699,2018-02-13,west
176700,2018-02-14,north
171000,2018-02-14,south
169800,2018-02-14,east
151200,2018-02-14,west
507492,2018-02-14,north
575424,2018-02-14,south
535464,2018-02-14,east
545454,2018-02-14,west
148500,2018-02-14,north
135500,2018-02-14,south
126750,2018-02-14,east
129000,2018-02-14,west
158100,2018-02-14,north
169800,2018-02-14,south
179400,2018-02-14,east
157200,2018-02-14,west
74375,2018-02-14,north
75000,2018-02-14,south
69750,2018-02-14,east
65875,2018-02-14,west
261975,2018-02-14,north
265468,2018-02-14,south
272953,2018-02-14,east
255488,2018-02-14,west
105669,2018-02-14,north
108455,2018-02-14,south
118604,2018-02-14,east
102883,2018-02-14,west
174600,2018-02-15,north
173400,2018-02-15,south
152400,2018-02-15,east
161400,2018-02-15,west
534465,2018-02-15,north
507492,2018-02-15,south
576423,2018-02-15,east
510489,2018-02-15,west
130750,2018-02-15,north
132500,2018-02-15,south
145500,2018-02-15,east
140500,2018-02-15,west
160500,2018-02-15,north
159900,2018-02-15,south
176400,2018-02-15,east
152400,2018-02-15,west
63875,2018-02-15,north
67625,2018-02-15,south
66125,2018-02-15,east
71250,2018-02-15,west
258482,2018-02-15,north
265967,2018-02-15,south
265967,2018-02-15,east
275947,2018-02-15,west
104674,2018-02-15,north
110445,2018-02-15,south
109848,2018-02-15,east
110047,2018-02-15,west
157800,2018-02-16,north
178200,2018-02-16,south
152700,2018-02-16,east
175200,2018-02-16,west
505494,2018-02-16,north
590409,2018-02-16,south
502497,2018-02-16,east
518481,2018-02-16,west
137000,2018-02-16,north
144500,2018-02-16,south
129500,2018-02-16,east
141000,2018-02-16,west
150000,2018-02-16,north
159900,2018-02-16,south
